id,rank,name,team,position,rushAttempts,rushYards,rushTds,yardsPerRush,targets,receptions,recYards,recTds,catchRate,fantasyPPG,compositeScore
1,1,saquon barkley,PHI,RB,345,2005,13,5.8,,,,,,,131.76363636363635
2,2,derrick henry,BAL,RB,325,1921,16,5.9,,,,,,,125.60909090909091
3,3,kyren williams,LAR,RB,316,1299,14,4.1,,,,,,,121.11818181818182
4,4,bijan robinson,ATL,RB,304,1456,14,4.8,,,,,,,116.94545454545455
5,5,josh jacobs,GNB,RB,301,1329,15,4.4,,,,,,,116.1090909090909
6,6,jonathan taylor,IND,RB,303,1431,11,4.7,,,,,,,115.46363636363635
7,7,najee harris,PIT,RB,263,1043,6,4,,,,,,,98.9090909090909
8,8,jahmyr gibbs,DET,RB,250,1412,16,5.6,,,,,,,98.25454545454546
9,9,tony pollard,TEN,RB,260,1079,5,4.2,,,,,,,97.5090909090909
10,10,chuba hubbard,CAR,RB,250,1195,10,4.8,,,,,,,95.85454545454544
11,11,aaron jones,MIN,RB,255,1138,5,4.5,,,,,,,95.77272727272727
12,12,dandre swift,CHI,RB,253,959,6,3.8,,,,,,,95.21818181818182
13,13,joe mixon,HOU,RB,245,1016,11,4.1,,,,,,,94.2090909090909
14,14,james conner,ARI,RB,236,1094,8,4.6,,,,,,,89.98181818181818
15,15,rico dowdle,DAL,RB,235,1079,2,4.6,,,,,,,87.43636363636362
16,16,chase brown,CIN,RB,229,990,7,4.3,,,,,,,86.9909090909091
17,17,alvin kamara,NOR,RB,228,950,6,4.2,,,,,,,86.23636363636365
18,18,james cook,BUF,RB,207,1009,16,4.9,,,,,,,82.42727272727274
19,19,bucky irving,TAM,RB,207,1122,8,5.4,,,,,,,79.65454545454547
20,20,breece hall,NYJ,RB,209,876,5,4.2,,,,,,,78.96363636363637
21,21,rhamondre stevenson,NWE,RB,207,801,7,3.9,,,,,,,78.88181818181819
22,22,devon achane,MIA,RB,203,907,6,4.5,,,,,,,77.22727272727272
23,23,kareem hunt,KAN,RB,200,728,7,3.6,,,,,,,76.25454545454545
24,24,jk dobbins,LAC,RB,195,905,9,4.6,,,,,,,75.43636363636362
25,25,tyrone tracy jr,NYG,RB,192,839,5,4.4,,,,,,,72.83636363636363
26,26,david montgomery,DET,RB,185,775,12,4.2,,,,,,,72.78181818181818
27,27,brian robinson jr,WAS,RB,187,799,8,4.3,,,,,,,72.08181818181818
28,28,tank bigsby,JAX,RB,168,766,7,4.6,,,,,,,64.89090909090908
29,29,jalen hurts,PHI,QB,150,630,14,4.2,,,,,,,60.781818181818174
30,30,kenneth walker iii,SEA,RB,153,573,7,3.7,,,,,,,59.19090909090909
31,31,jordan mason,SFO,RB,153,789,3,5.2,,,,,,,58.14545454545455
32,32,jayden daniels,WAS,QB,148,891,6,6,,,,,,,57.63636363636363
33,33,travis etienne,JAX,RB,150,558,2,3.7,,,,,,,56.281818181818174
34,34,rachaad white,TAM,RB,144,613,3,4.3,,,,,,,54.627272727272725
35,35,lamar jackson,BAL,QB,139,915,4,6.6,,,,,,,53.8
36,36,zach charbonnet,SEA,RB,135,569,8,4.2,,,,,,,53.14545454545454
37,37,javonte williams,DEN,RB,139,513,4,3.7,,,,,,,53.00909090909091
38,38,tyler allgeier,ATL,RB,137,644,3,4.7,,,,,,,52.19090909090909
39,39,alexander mattison,LVR,RB,132,420,4,3.2,,,,,,,50.32727272727273
40,40,antonio gibson,NWE,RB,120,538,1,4.5,,,,,,,45.22727272727273
41,41,jaylen warren,PIT,RB,120,511,1,4.3,,,,,,,45.172727272727265
42,42,devin singletary,NYG,RB,113,437,4,3.9,,,,,,,43.60909090909091
43,43,ray davis,BUF,RB,113,442,3,3.9,,,,,,,43.24545454545455
44,44,josh allen,BUF,QB,102,531,12,5.2,,,,,,,42.87272727272728
45,45,jaleel mclaughlin,DEN,RB,113,496,1,4.4,,,,,,,42.654545454545456
46,46,jerome ford,CLE,RB,104,565,3,5.4,,,,,,,40.38181818181818
47,47,emanuel wilson,GNB,RB,103,502,4,4.9,,,,,,,40.24545454545454
48,48,cam akers,2TM,RB,104,444,2,4.3,,,,,,,39.71818181818181
49,49,gus edwards,LAC,RB,101,365,4,3.6,,,,,,,39.163636363636364
50,50,nick chubb,CLE,RB,102,332,3,3.3,,,,,,,39.081818181818186
