id,rank,name,team,position,targets,receptions,recYards,recTds,yardsPerReception,catchRate,fantasyPPG,compositeScore
1,1,jamarr chase,CIN,WR,175,127,1708,17,13.4,72.6,,83.4
2,2,malik nabers,NYG,WR,170,109,1204,7,11,64.1,,74.76249999999999
3,3,amonra st brown,DET,WR,141,115,1263,12,11,81.6,,72.075
4,4,brock bowers,LVR,TE,153,112,1194,5,10.7,73.2,,71.65625000000001
5,5,justin jefferson,MIN,WR,154,103,1533,10,14.9,66.9,,71.46875
6,6,drake london,ATL,WR,158,100,1271,9,12.7,63.3,,70.79375
7,7,trey mcbride,ARI,TE,147,111,1146,2,10.3,75.5,,69.43125
8,8,garrett wilson,NYJ,WR,154,101,1104,7,10.9,65.6,,69.43125
9,9,ceedee lamb,DAL,WR,152,101,1194,6,11.8,66.4,,68.95000000000002
10,10,jaxon smithnjigba,SEA,WR,137,100,1130,6,11.3,73.0,,65.74375000000002
11,11,dj moore,CHI,WR,140,98,966,6,9.9,70.0,,65.48125000000002
12,12,jerry jeudy,CLE,WR,145,90,1229,4,13.7,62.1,,64.45625
13,13,davante adams,2TM,WR,141,85,1063,8,12.5,60.3,,63.06875000000001
14,14,brian thomas,JAX,WR,133,87,1282,10,14.7,65.4,,62.99375
15,15,wandale robinson,NYG,WR,140,93,699,3,7.5,66.4,,62.89375000000001
16,16,travis kelce,KAN,TE,133,97,823,3,8.5,72.9,,62.893750000000004
17,17,courtland sutton,DEN,WR,135,81,1081,8,13.3,60.0,,60.93125
18,18,jakobi meyers,LVR,WR,129,87,1027,4,11.8,67.4,,60.20000000000001
19,19,terry mclaurin,WAS,WR,117,82,1096,13,13.4,70.1,,59.150000000000006
20,20,jonnu smith,MIA,TE,111,88,884,8,10,79.3,,58.037500000000016
21,21,tyreek hill,MIA,WR,123,81,959,6,11.8,65.9,,57.88750000000002
22,22,ladd mcconkey,LAC,WR,112,82,1149,7,14,73.2,,56.900000000000006
23,23,mike evans,TAM,WR,110,74,1004,11,13.6,67.3,,55.08750000000001
24,24,jauan jennings,SFO,WR,113,77,975,6,12.7,68.1,,55.08125000000001
25,25,zay flowers,BAL,WR,116,74,1059,4,14.3,63.8,,54.531250000000014
26,26,keenan allen,CHI,WR,121,70,744,7,10.6,57.9,,54.35000000000001
27,27,tee higgins,CIN,WR,109,73,911,10,12.5,67.0,,54.15625000000001
28,28,puka nacua,LAR,WR,106,79,990,3,12.5,74.5,,53.718750000000014
29,29,george kittle,SFO,TE,94,78,1106,8,14.2,83.0,,53.16250000000001
30,30,calvin ridley,TEN,WR,120,64,1017,4,15.9,53.3,,52.64375
31,31,davante adams,NYJ,WR,114,67,854,7,12.7,58.8,,52.54375000000001
32,32,josh downs,IND,WR,107,72,803,5,11.2,67.3,,52.0125
33,33,marvin harrison jr,ARI,WR,116,62,885,8,14.3,53.4,,51.98125000000002
34,34,khalil shakir,BUF,WR,100,76,821,4,10.8,76.0,,51.775
35,35,michael pittman jr,IND,WR,111,69,808,3,11.7,62.2,,51.406250000000014
36,36,dk metcalf,SEA,WR,108,66,992,5,15,61.1,,51.075
37,37,nico collins,HOU,WR,99,68,1006,7,14.8,68.7,,50.6125
38,38,devon achane,MIA,RB,87,78,592,6,7.6,89.7,,50.51250000000001
39,39,aj brown,PHI,WR,97,67,1079,7,16.1,69.1,,50.21875
40,40,darnell mooney,ATL,WR,106,64,992,5,15.5,60.4,,50.20625000000001
41,41,cooper kupp,LAR,WR,100,67,710,6,10.6,67.0,,49.425000000000004
42,42,jordan addison,MIN,WR,99,63,875,9,13.9,63.6,,49.36875
43,43,devonta smith,PHI,WR,89,68,833,8,12.3,76.4,,48.85625
44,44,zach ertz,WAS,TE,91,66,654,7,9.9,72.5,,47.79375
45,45,george pickens,PIT,WR,103,59,900,3,15.3,57.3,,47.59375000000001
46,46,hunter henry,NWE,TE,97,66,674,2,10.2,68.0,,47.53750000000001
47,47,david njoku,CLE,TE,97,64,505,5,7.9,66.0,,47.23125
48,48,xavier worthy,KAN,WR,98,59,638,6,10.8,60.2,,46.61250000000001
49,49,jameson williams,DET,WR,91,58,1001,7,17.3,63.7,,46.581250000000004
50,50,alvin kamara,NOR,RB,89,68,543,2,8,76.4,,46.55
